"id","fecha","area","prioridad","requisito","motivo","alcance_objetivo","estado","version_referencia"
"SS-FW-PEN-023","2026-05-28","App Android","Media","Separar app tecnica de app demo/comercial","La demo final no debe mezclarse con descarga larga de datos ni diagnostico de laboratorio","Field Viewer queda para pruebas BLE/SD; Mobile Demo queda para vision Nadador/Coach/Familia/Evento","IMPLEMENTADO_APP_DEMO_V020","FIELD-VIEWER-V0.3.29"
"SS-FW-PEN-024","2026-05-28","Firmware/App/Sensor agua","Alta","Automatizar inicio con sensor de agua y ritmo de nado sin perder el arranque","El usuario no debe entrar al mar y esperar; si el dispositivo dorsal se moja debe empezar a observar y grabar cuando haya patron","Definir flujo DRY -> WATER_BUFFERING -> SWIM_CANDIDATE -> RECORDING con buffer inicial","PENDIENTE","SENSOR_AGUA_FUTURO"
"SS-FW-PEN-025","2026-05-29","Producto/Feedback","Alta","Convertir comentarios de comunidad en ranking de requisitos","Los grupos ya pidieron ritmo, velocidad, geocerca, inmovilidad, SOS, orientacion e identificacion","Actualizar tracker de feedback y usarlo para priorizar roadmap Lite/Events/Pro","IMPLEMENTADO_TRACKER_V1","feedback_comunidad_aguas_abiertas.csv"
"SS-FW-PEN-026","2026-06-01","App Android/Backend","Alta","Simular GSM final usando telefono gateway dedicado","Todavia no hay modulo GSM/LTE interno en ESP; se necesita probar mapa en vivo y distancia de cobertura celular en mar","Field Viewer v0.3.30 agrega Gateway GSM: recibe BLE, toma GPS del telefono y sube POST /api/telemetry cada 5 s al backend","IMPLEMENTADO_SIN_VALIDAR","FIELD-VIEWER-V0.3.30"
"SS-FW-PEN-027","2026-06-02","App Android/Coach dashboard","Alta","Usar comienzo manual como base de sesion y mapa real para cualquier playa","La imagen estatica de Agua Dulce no sirve para pruebas en otras playas o caminatas de depuracion","Field Viewer v0.3.31 fija baseLat/baseLon al activar Gateway; coach.html usa Leaflet/OpenStreetMap y distancia al punto de comienzo","IMPLEMENTADO_SIN_VALIDAR","FIELD-VIEWER-V0.3.31"
"SS-FW-PEN-028","2026-06-02","App Android/Coach Live","Alta","Validar app nativa de entrenador con datos reales de gateway","Un entrenador necesita abrir una app y no Chrome; debe ver ubicacion, movimiento corporal y alertas basicas sin datos crudos confusos","Coach Live v0.1.0 consulta backend/ngrok, dibuja ruta esquematica y resume lectura corporal; pendiente decidir mapa real nativo y lista de atletas","IMPLEMENTADO_SIN_VALIDAR","COACH-LIVE-V0.1.0"
"SS-FW-PEN-029","2026-06-02","App Android/Telefono Gateway","Alta","Evitar corte BLE cuando la pantalla del celular A se apaga","En prueba A/B se observo que al dormir pantalla se desconecta BLE del ESP; para campo debe sostener gateway activo","Field Viewer v0.3.32 mantiene pantalla encendida mientras Gateway ON; evaluar WakeLock/servicio foreground para version de campo prolongada","IMPLEMENTADO_SIN_VALIDAR","FIELD-VIEWER-V0.3.32"
"SS-FW-PEN-030","2026-06-02","App Android/Coach Live","Alta","Incorporar mapa real dentro de la APK de entrenador","El mapa esquematico muestra ruta y base pero no tiles reales; para entrenadores conviene reconocer playa/calles/costa","Evaluar WebView Leaflet/OpenStreetMap dentro de APK o libreria nativa; mantener fallback esquematico cuando no haya internet","PENDIENTE","COACH-LIVE-MAP-REAL"
"SS-FW-PEN-031","2026-06-02","Producto/Coach UX","Alta","Definir metricas relevantes para entrenador","LR/FB/UD crudo no sirve al entrenador; se necesita lectura corporal accionable","Priorizar avance GPS, senal, movimiento/sin avance, distancia a base, rotacion corporal, impulso/MAG, ritmo y alertas simples","PENDIENTE","COACH-UX"
"SS-FW-PEN-032","2026-06-05","Hardware/Visibilidad nocturna","Alta","Validar LED de estado y emergencia visible 360 grados","El calendario 2026 incluye un nado nocturno el 18 de julio; permite evaluar visibilidad real, autonomia y diferenciacion entre estado normal y alerta","Diseñar prototipo de luz perimetral o difusor; medir consumo y validar sin depender del LED como unica medida de seguridad","PENDIENTE","LED-360-PROTOTIPO"
"SS-FW-PEN-033","2026-06-08","Hardware/Carcasa","Critica","Diseñar y validar flotabilidad positiva con autoenderezamiento","Si el dispositivo se desprende debe emerger con antena y LED hacia arriba, sin crear falsa confirmacion de ubicacion del atleta","Crear prototipo de carcasa, calcular desplazamiento, distribuir masa y ejecutar protocolo de ensayos en agua dulce/salada","PENDIENTE","SS-REQUISITOS-CARCASA-Y-FLOTABILIDAD-V001"
"SS-FW-PEN-034","2026-06-08","Firmware/App","Critica","Distinguir ubicacion del dispositivo de ubicacion confirmada del atleta","Un dispositivo desprendido y flotando puede continuar transmitiendo mientras el nadador esta en otra posicion","Investigar deteccion de desprendimiento y mostrar DISPOSITIVO_A_LA_DERIVA o UBICACION_NO_CONFIRMADA hasta verificacion humana","PENDIENTE","SS-REQUISITOS-CARCASA-Y-FLOTABILIDAD-V001"
"SS-FW-PEN-035","2026-06-08","Pruebas/Comunicacion","Critica","Caracterizar señal en posturas acuaticas y dispositivo desprendido","La perdida o recuperacion de señal puede deberse a postura, oleaje, cobertura, inmersion o desprendimiento","Ejecutar protocolo sincronizando paquetes, RSSI/calidad, IMU, agua, ubicacion y video; no clasificar desprendimiento usando señal sola","PENDIENTE","SS-PROTOCOLO-PRUEBA-SENAL-INMERSION-DESPRENDIMIENTO-V001"
"SS-FW-PEN-036","2026-06-08","Backend/Mapa","Alta","Construir mapa agregado de confianza de comunicacion observada","Permite planificar rutas, contextualizar cortes y detectar zonas recurrentes sin prometer cobertura","Registrar exito de paquetes, latencia, cortes, recuperacion, ubicacion, operador/tecnologia opcional y confianza; anonimizar antes de mostrar","PENDIENTE","SS-REQUISITOS-MAPA-CONFIANZA-COMUNICACION-V001"
"SS-FW-PEN-037","2026-06-08","Pruebas/Comunicacion","Critica","Comparar las cuatro operadoras sobre rutas acuaticas objetivo","No existe mapa publico validado de cobertura mar adentro y los rankings terrestres no determinan la mejor red para Save Swimmer","Ejecutar misma ruta y protocolo con Movistar, Claro, Entel y Bitel; registrar paquetes, cortes, latencia, recuperacion, tecnologia y posicion","PENDIENTE","SS-INVESTIGACION-COBERTURA-MOVIL-MAR-PERU-V001"
"SS-FW-PEN-039","2026-06-27","App Android/GPS","Alta",,,,"IMPLEMENTADO_SIN_VALIDAR_CAMPO",
"SS-FW-PEN-040","2026-06-27","Backend/Arquitectura","Alta",,,,"DOCUMENTADO_PENDIENTE_IMPLEMENTAR",
"SS-FW-PEN-041","2026-06-27","Firmware/App/Resumen","Media",,,,"PENDIENTE",
"SS-FW-PEN-042","2026-07-06","App Android/Atleta","Alta","Crear app atleta separada de laboratorio con lectura en vivo y analisis CSV","La app laboratorio debe controlar BLE/SD/GPS/INA; la app atleta debe interpretar rotacion, alineacion, impulso, ritmo y eficiencia sin ensuciar el flujo tecnico","Implementar modo En Vivo BLE solo lectura y modo Analizar CSV. Usar comparativas contra inicio, ventana 30 s, promedio de sesion e historial futuro. Mostrar resultado, por que y significado corporal.","PENDIENTE","SS-REQUISITOS-APP-ATLETA-INTERPRETACION-V001"
"SS-FW-PEN-043","2026-07-06","App Android/Atleta","Alta","Detectar cambios temporales y causa probable de mejora o caida","El atleta necesita saber no solo que subio/bajo velocidad o ritmo, sino que cambio: alineacion, rotacion, impulso o eficiencia","Generar resumen por tramos: inicio, tramo estable, primer cambio relevante y final. Cruzar GPS, MAG, LR, UD/FB y ciclo para explicar eficiencia, fuerza, fatiga tecnica o perdida de alineacion.","PENDIENTE","SS-REQUISITOS-APP-ATLETA-INTERPRETACION-V001"
