"categoria","documento","finalidad","estado","formatos","archivos","actualizado"
"08. Events y competencias","SS-MATRIZ-TIPOS-COMPETENCIA-Y-VARIANTES-V001","Matriz de competencias y variantes operativas posibles.","ACTIVO","CSV / XLSX","documentos_iso\SS-MATRIZ-TIPOS-COMPETENCIA-Y-VARIANTES-V001.csv | documentos_iso\SS-MATRIZ-TIPOS-COMPETENCIA-Y-VARIANTES-V001.xlsx","2026-07-08 09:27"
"08. Events y competencias","SS-REQUISITOS-SEGURIDAD-EVENTS-DERIVADOS-CASOS-V001","Requisitos de seguridad derivados de casos y observaciones reales.","ACTIVO","CSV / XLSX","documentos_iso\SS-REQUISITOS-SEGURIDAD-EVENTS-DERIVADOS-CASOS-V001.csv | documentos_iso\SS-REQUISITOS-SEGURIDAD-EVENTS-DERIVADOS-CASOS-V001.xlsx","2026-07-08 09:27"
"09. Investigacion, comunidad y pilotos","feedback_comunidad_aguas_abiertas","Registro continuo de comentarios recibidos de nadadores y comunidad.","ACTIVO","CSV","feedback_comunidad_aguas_abiertas.csv","2026-06-06 16:41"
"09. Investigacion, comunidad y pilotos","SS-BETA-TESTERS-CONTACTOS-PRIVADO-V001","Contactos privados de posibles participantes de pruebas.","ACTIVO","CSV / XLSX","documentos_iso\SS-BETA-TESTERS-CONTACTOS-PRIVADO-V001.csv | documentos_iso\SS-BETA-TESTERS-CONTACTOS-PRIVADO-V001.xlsx","2026-07-08 09:27"
"09. Investigacion, comunidad y pilotos","SS-CALENDARIO-OPORTUNIDADES-PRUEBA-2026-V001","Calendario de oportunidades para observacion y pruebas.","ACTIVO","CSV / XLSX","documentos_iso\SS-CALENDARIO-OPORTUNIDADES-PRUEBA-2026-V001.csv | documentos_iso\SS-CALENDARIO-OPORTUNIDADES-PRUEBA-2026-V001.xlsx","2026-07-08 09:27"
"09. Investigacion, comunidad y pilotos","SS-ENCUESTA-BREVE-EVENTO-AGUAS-ABIERTAS-V001","Formulario breve utilizado para recopilar necesidades en eventos.","REEMPLAZADO","DOCX","documentos_iso\SS-ENCUESTA-BREVE-EVENTO-AGUAS-ABIERTAS-V001.docx","2026-06-05 11:07"
"09. Investigacion, comunidad y pilotos","SS-ENCUESTA-BREVE-EVENTO-AGUAS-ABIERTAS-V002","Formulario breve utilizado para recopilar necesidades en eventos.","REEMPLAZADO","DOCX","documentos_iso\SS-ENCUESTA-BREVE-EVENTO-AGUAS-ABIERTAS-V002.docx","2026-06-05 11:19"
"09. Investigacion, comunidad y pilotos","SS-ENCUESTA-BREVE-EVENTO-AGUAS-ABIERTAS-V003","Formulario breve utilizado para recopilar necesidades en eventos.","ACTIVO","DOCX","documentos_iso\SS-ENCUESTA-BREVE-EVENTO-AGUAS-ABIERTAS-V003.docx","2026-06-05 11:28"
"09. Investigacion, comunidad y pilotos","SS-ENCUESTA-DIGITAL-RESPUESTAS-NORMALIZADAS-V001","Respuestas digitales normalizadas para analisis.","ACTIVO","CSV / XLSX","documentos_iso\SS-ENCUESTA-DIGITAL-RESPUESTAS-NORMALIZADAS-V001.csv | documentos_iso\SS-ENCUESTA-DIGITAL-RESPUESTAS-NORMALIZADAS-V001.xlsx","2026-07-08 09:27"
"09. Investigacion, comunidad y pilotos","SS-FUENTES-INVESTIGACION-MERCADO-V001","Fuentes utilizadas para investigacion de mercado.","ACTIVO","CSV / XLSX","documentos_iso\SS-FUENTES-INVESTIGACION-MERCADO-V001.csv | documentos_iso\SS-FUENTES-INVESTIGACION-MERCADO-V001.xlsx","2026-07-08 09:27"
"09. Investigacion, comunidad y pilotos","SS-GUIA-VISITA-EVENTO-AGUAS-ABIERTAS-V001","Guia operativa para observar y documentar eventos de aguas abiertas.","ACTIVO","CSV / XLSX","documentos_iso\SS-GUIA-VISITA-EVENTO-AGUAS-ABIERTAS-V001.csv | documentos_iso\SS-GUIA-VISITA-EVENTO-AGUAS-ABIERTAS-V001.xlsx","2026-07-08 09:27"
"09. Investigacion, comunidad y pilotos","SS-INVESTIGACION-MERCADO-RESPUESTAS-V001","Registro de comentarios y solicitudes expresadas por la comunidad.","ACTIVO","CSV / XLSX","documentos_iso\SS-INVESTIGACION-MERCADO-RESPUESTAS-V001.csv | documentos_iso\SS-INVESTIGACION-MERCADO-RESPUESTAS-V001.xlsx","2026-07-08 09:27"
"09. Investigacion, comunidad y pilotos","SS-RESUMEN-ENCUESTAS-BREVES-V001","Resumen de resultados y prioridades observadas en encuestas.","ACTIVO","CSV / XLSX","documentos_iso\SS-RESUMEN-ENCUESTAS-BREVES-V001.csv | documentos_iso\SS-RESUMEN-ENCUESTAS-BREVES-V001.xlsx","2026-07-08 09:27"
"09. Investigacion, comunidad y pilotos","SS-RESUMEN-ENCUESTAS-CONSOLIDADO-V001","Resumen de resultados y prioridades observadas en encuestas.","ACTIVO","CSV / XLSX","documentos_iso\SS-RESUMEN-ENCUESTAS-CONSOLIDADO-V001.csv | documentos_iso\SS-RESUMEN-ENCUESTAS-CONSOLIDADO-V001.xlsx","2026-07-08 09:27"
"10. Seguridad, autoridades y casos","SS-CASOS-REFERENCIA-SEGURIDAD-ACUATICA-V001","Casos externos estudiados para fortalecer requisitos sin usarlos comercialmente.","ACTIVO","CSV / XLSX","documentos_iso\SS-CASOS-REFERENCIA-SEGURIDAD-ACUATICA-V001.csv | documentos_iso\SS-CASOS-REFERENCIA-SEGURIDAD-ACUATICA-V001.xlsx","2026-07-08 09:27"
"10. Seguridad, autoridades y casos","SS-ROADMAP-ACERCAMIENTO-PNP-V001","Etapas y condiciones para acercamiento responsable a autoridades.","ACTIVO","CSV / XLSX","documentos_iso\SS-ROADMAP-ACERCAMIENTO-PNP-V001.csv | documentos_iso\SS-ROADMAP-ACERCAMIENTO-PNP-V001.xlsx","2026-07-08 09:27"
"11. Comunicacion y financiamiento","contenido_editor_startfund","Contenido operativo y comunicacional de la campana de financiamiento.","ACTIVO","TXT","campana_financiamiento\contenido_editor_startfund.txt","2026-05-28 17:00"
"11. Comunicacion y financiamiento","landing_save_swimmer_campana","Contenido operativo y comunicacional de la campana de financiamiento.","ACTIVO","HTML","campana_financiamiento\landing_save_swimmer_campana.html","2026-05-28 16:19"
"11. Comunicacion y financiamiento","mensajes_directos","Contenido operativo y comunicacional de la campana de financiamiento.","ACTIVO","TXT","campana_financiamiento\mensajes_directos.txt","2026-05-28 16:19"
"11. Comunicacion y financiamiento","paso_a_paso_crear_cuentas","Contenido operativo y comunicacional de la campana de financiamiento.","ACTIVO","TXT","campana_financiamiento\paso_a_paso_crear_cuentas.txt","2026-05-28 16:44"
"11. Comunicacion y financiamiento","post_avance_plin_copy_v001","Contenido operativo y comunicacional de la campana de financiamiento.","ACTIVO","TXT","campana_financiamiento\post_avance_plin_copy_v001.txt","2026-06-03 18:38"
"11. Comunicacion y financiamiento","posts_redes","Contenido operativo y comunicacional de la campana de financiamiento.","ACTIVO","TXT","campana_financiamiento\posts_redes.txt","2026-05-31 09:06"
"11. Comunicacion y financiamiento","README_CAMPANA_SAVE_SWIMMER","Contenido operativo y comunicacional de la campana de financiamiento.","ACTIVO","TXT","campana_financiamiento\README_CAMPANA_SAVE_SWIMMER.txt","2026-05-31 09:06"
"11. Comunicacion y financiamiento","recompensas_startfund_listas","Contenido operativo y comunicacional de la campana de financiamiento.","ACTIVO","TXT","campana_financiamiento\recompensas_startfund_listas.txt","2026-05-28 17:07"
"11. Comunicacion y financiamiento","texto_plataforma_crowdfunding","Contenido operativo y comunicacional de la campana de financiamiento.","ACTIVO","TXT","campana_financiamiento\texto_plataforma_crowdfunding.txt","2026-05-28 16:19"
"12. Referencias generales","ERC-V001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","TXT","hardware_design\SS-PROTOTIPO-ACTUAL-KICAD-V001\export\ERC-V001.txt","2026-06-08 17:31"
"12. Referencias generales","post_redes_beneficios_nuevas_compras_copy_v001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","TXT","campana_financiamiento\post_redes_beneficios_nuevas_compras_copy_v001.txt","2026-06-14 16:46"
"12. Referencias generales","post_redes_del_prototipo_al_diseno_copy_v001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","TXT","campana_financiamiento\post_redes_del_prototipo_al_diseno_copy_v001.txt","2026-06-10 09:33"
"12. Referencias generales","post_redes_nuevas_herramientas_copy_v001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","TXT","campana_financiamiento\post_redes_nuevas_herramientas_copy_v001.txt","2026-06-14 16:36"
"12. Referencias generales","post_redes_ruta_confirmada_copy_v001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","TXT","campana_financiamiento\post_redes_ruta_confirmada_copy_v001.txt","2026-06-08 12:39"
"12. Referencias generales","README","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","TXT","hardware_design\SS-PROTOTIPO-ACTUAL-KICAD-V001\PEUEBA\.history\README.txt","2026-06-08 17:42"
"12. Referencias generales","README","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","TXT","hardware_design\SS-PROTOTIPO-ACTUAL-KICAD-V001\README.txt","2026-06-08 17:36"
"12. Referencias generales","save_swimmer_esquema","Esquema general historico del dispositivo y aplicaciones.","ACTIVO","MD","save_swimmer_esquema.md","2026-05-16 20:40"
"12. Referencias generales","save_swimmer_mapa_integral","Mapa integral historico del ecosistema Save Swimmer.","ACTIVO","MD","save_swimmer_mapa_integral.md","2026-05-31 09:07"
"12. Referencias generales","SS-ARQUITECTURA-DATOS-TRANSMISION-INTERPRETACION-V001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","CSV / XLSX","documentos_iso\SS-ARQUITECTURA-DATOS-TRANSMISION-INTERPRETACION-V001.csv | documentos_iso\SS-ARQUITECTURA-DATOS-TRANSMISION-INTERPRETACION-V001.xlsx","2026-07-08 09:27"
"12. Referencias generales","SS-CARTA-AGRADECIMIENTO-ATLETA-PRUEBA-V001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","DOCX / TXT","documentos_legales\SS-CARTA-AGRADECIMIENTO-ATLETA-PRUEBA-V001.docx | documentos_legales\SS-CARTA-AGRADECIMIENTO-ATLETA-PRUEBA-V001.txt","2026-07-08 09:42"
"12. Referencias generales","SS-CARTA-SOLICITUD-PRUEBA-PISCINA-V001","Documento de apoyo del proyecto Save Swimmer.","REEMPLAZADO","DOCX","documentos_legales\SS-CARTA-SOLICITUD-PRUEBA-PISCINA-V001.docx","2026-07-01 10:31"
"12. Referencias generales","SS-CARTA-SOLICITUD-PRUEBA-PISCINA-V002","Documento de apoyo del proyecto Save Swimmer.","REEMPLAZADO","DOCX","documentos_legales\SS-CARTA-SOLICITUD-PRUEBA-PISCINA-V002.docx","2026-07-01 10:49"
"12. Referencias generales","SS-CARTA-SOLICITUD-PRUEBA-PISCINA-V003","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","DOCX","documentos_legales\SS-CARTA-SOLICITUD-PRUEBA-PISCINA-V003.docx","2026-07-01 10:56"
"12. Referencias generales","SS-CRONOGRAMA-PRUEBAS-TECNICA-CROL-V001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","CSV / XLSX","documentos_iso\SS-CRONOGRAMA-PRUEBAS-TECNICA-CROL-V001.csv | documentos_iso\SS-CRONOGRAMA-PRUEBAS-TECNICA-CROL-V001.xlsx","2026-07-08 09:27"
"12. Referencias generales","SS-DIAGRAMA-CONEXION-PROTOTIPO-V001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","DOCX / MD / TXT","documentos_iso\SS-DIAGRAMA-CONEXION-PROTOTIPO-V001.docx | documentos_iso\SS-DIAGRAMA-CONEXION-PROTOTIPO-V001.md | documentos_iso\SS-DIAGRAMA-CONEXION-PROTOTIPO-V001.txt","2026-06-16 12:15"
"12. Referencias generales","SS-FICHA-LECTURA-ATLETA-CAMPO-V001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","DOCX / HTML / TXT","documentos_iso\SS-FICHA-LECTURA-ATLETA-CAMPO-V001.docx | documentos_iso\SS-FICHA-LECTURA-ATLETA-CAMPO-V001.html | documentos_iso\SS-FICHA-LECTURA-ATLETA-CAMPO-V001.txt","2026-07-08 11:00"
"12. Referencias generales","SS-FRM-PERMISO-TOMA-DATOS-ENTRENAMIENTO-V001","Documento de apoyo del proyecto Save Swimmer.","REEMPLAZADO","DOCX / TXT","documentos_legales\SS-FRM-PERMISO-TOMA-DATOS-ENTRENAMIENTO-V001.docx | documentos_legales\SS-FRM-PERMISO-TOMA-DATOS-ENTRENAMIENTO-V001.txt","2026-06-29 19:58"
"12. Referencias generales","SS-FRM-PERMISO-TOMA-DATOS-ENTRENAMIENTO-V002","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","DOCX / TXT","documentos_legales\SS-FRM-PERMISO-TOMA-DATOS-ENTRENAMIENTO-V002.docx | documentos_legales\SS-FRM-PERMISO-TOMA-DATOS-ENTRENAMIENTO-V002.txt","2026-07-08 09:44"
"12. Referencias generales","SS-GUIA-CODIGOS-PRUEBA-ENTRENAMIENTO-V001","Documento de apoyo del proyecto Save Swimmer.","REEMPLAZADO","CSV","documentos_legales\SS-GUIA-CODIGOS-PRUEBA-ENTRENAMIENTO-V001.csv","2026-06-29 19:52"
"12. Referencias generales","SS-GUIA-CODIGOS-PRUEBA-ENTRENAMIENTO-V002","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","CSV","documentos_legales\SS-GUIA-CODIGOS-PRUEBA-ENTRENAMIENTO-V002.csv","2026-07-08 08:51"
"12. Referencias generales","SS-NOTA-TECNICA-ROLIDO-CROL-V001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","CSV / XLSX","documentos_iso\SS-NOTA-TECNICA-ROLIDO-CROL-V001.csv | documentos_iso\SS-NOTA-TECNICA-ROLIDO-CROL-V001.xlsx","2026-07-08 09:27"
"12. Referencias generales","SS-REQUISITOS-APP-ATLETA-INTERPRETACION-V001","Documento de apoyo del proyecto Save Swimmer.","ACTIVO","CSV / XLSX","documentos_iso\SS-REQUISITOS-APP-ATLETA-INTERPRETACION-V001.csv | documentos_iso\SS-REQUISITOS-APP-ATLETA-INTERPRETACION-V001.xlsx","2026-07-08 09:27"
"12. Referencias generales","SS-DOCUMENTO-TECNICO-PROTOTIPO-LITE-V002-20260711","Documento tecnico vivo consolidado del prototipo Lite con firmware, apps, arquitectura, criterios de seguridad, datos, costos y pendientes vigentes.","ACTIVO","MD","documentos_iso\SS-DOCUMENTO-TECNICO-PROTOTIPO-LITE-V002-20260711.md","2026-07-11"
