id,prioridad,momento,item,cantidad,costo_unitario_referencial_soles,costo_total_referencial_soles,proveedor_referencia,finalidad,decision,observacion
SS-CMP-006,ALTA,Comprar ahora,Sensor capacitivo de humedad/agua V1.2,1,9,9,Altamira Peru o MTLAB,"Probar logica automatica agua detectada inicio de observacion y cierre posterior","COMPRAR PARA PROTOTIPO","Es grande y no es sensor marino final; usarlo para validar firmware y estados, no para prometer durabilidad"
SS-CMP-007,ALTA,Comprar ahora,Anillo LED WS2812 de 12 o 16 LEDs,1,"25-30","25-30",Mandril Importaciones u otro proveedor local,"Probar visibilidad 360 grados, patrones de estado y consumo","COMPRAR PARA PROTOTIPO","Limitar brillo por firmware y medir consumo; necesitara difusor translucido"
SS-CMP-008,ALTA,Comprar ahora,Modulo reed switch mas iman,1,"8-12","8-12",Altamira Peru u otro proveedor local,"Probar activacion magnetica sin abrir la carcasa","COMPRAR PARA PROTOTIPO","El modulo comercial consume mas que un reed pasivo; la version final usaria componente compacto"
SS-CMP-009,ALTA,Comprar ahora,MicroSD de marca 8 a 32 GB,1,"25-45","25-45",Proveedor formal,"Mantener una tarjeta control conocida para comparar integridad y fallas","COMPRAR","Formatear FAT32 y dedicarla solo a Save Swimmer; no reemplaza la validacion electrica"
SS-CMP-010,ALTA,Comprar ahora,Placa perforada soldable y conectores JST,1,"15-30","15-30",Tienda electronica local,"Reducir falsos contactos de Dupont durante pruebas de movimiento","COMPRAR","Pasar alimentacion SD GPS y bateria a conexiones soldadas antes de pruebas de campo"
SS-CMP-011,ALTA,Comprar ahora,Cable siliconado flexible y termocontraible surtido,1,"15-30","15-30",Tienda electronica local,"Mejorar confiabilidad mecanica y aislamiento del prototipo","COMPRAR","Usar colores consistentes y documentar cada conexion"
SS-CMP-012,ALTA,Comprar ahora,Caja con junta IP67 experimental,1,"30-60","30-60",Proveedor local de cajas electricas,"Realizar pruebas de distribucion, flotabilidad y salpicaduras controladas","COMPRAR","No usar como certificacion IP68 ni ingresar al mar sin protocolo controlado"
SS-CMP-013,ALTA,Comprar ahora,Espuma EVA de celda cerrada correa nylon hebilla y velcro,1,"20-40","20-40",Ferreteria o tienda textil,"Prototipar flotabilidad positiva, autoenderezamiento y sujecion dorsal","COMPRAR","La sujecion debe evitar enganches y permitir liberacion segura"
SS-CMP-014,MEDIA,Comprar despues de bloque principal,Sensor ICM20602 6DOF,1,31,31,Altamira Peru,"Comparar ruido, rango y utilidad respecto del MPU6050","COMPRAR DESPUES","No reemplazar la IMU actual hasta tener una prueba comparativa con el mismo movimiento"
SS-CMP-015,MEDIA,Comprar despues de bloque principal,Sensor DS18B20 impermeable,1,16,16,Altamira Peru,"Registrar temperatura de agua como contexto de rendimiento y riesgo","COMPRAR DESPUES","Aporta contexto, pero no es requisito para validar alerta temprana ni ubicacion"
SS-CMP-016,MEDIA,Comprar despues de bloque principal,Modulo vibrador 5V,1,10,10,Altamira Peru,"Probar confirmaciones y alertas hapticas locales","COMPRAR DESPUES","Evaluar si el nadador puede percibirlo y si agrega valor frente a consumo y espacio"
SS-CMP-017,MEDIA,Comprar despues de bloque principal,Segundo ESP32-S3 N16R8 de respaldo,1,"45-70","45-70",Proveedor formal,"Evitar detener desarrollo ante daño del unico cerebro de pruebas","COMPRAR CUANDO HAYA PRESUPUESTO","Debe ser el mismo modelo para repetir firmware sin diferencias"
SS-CMP-018,ESPERAR,No comprar todavia,Modulo LTE GSM SIM800L SIM7600 A7670 u otro,0,0,0,Por definir,"Comunicacion final independiente del telefono","ESPERAR","Primero validar gateway telefono, bandas locales, operador, consumo, antena y modelo comercial; no comprar SIM800L solo por ser barato"
SS-CMP-019,ESPERAR,No comprar todavia,Modulo LoRa o RF Events,0,0,0,Por definir,"Comunicacion de eventos con infraestructura propia","ESPERAR","Corresponde a Events y necesita receptor, arquitectura y pruebas separadas"
SS-CMP-020,ESPERAR,No comprar todavia,Carga Qi,0,0,0,Por definir,"Carga sellada sin contactos","ESPERAR","Aumenta volumen, calor y costo; Lite prioriza carga magnetica o contactos sellados"
SS-CMP-021,ESPERAR,No comprar todavia,Modulo satelital,0,0,0,Por definir,"Cobertura global de version Pro","ESPERAR","Pertenece a Pro y requiere definir antena, carcasa, proveedor y membresia"
SS-CMP-022,ESPERAR,No comprar todavia,Componentes para PCB final o lote grande,0,0,0,Por definir,"Miniaturizacion y fabricacion","ESPERAR","Comprar despues de cerrar arquitectura electrica, consumo, antenas y sensores"
