seccion,item,escenario,valor_soles,periodicidad,base_calculo,observacion
PUNTO_EQUILIBRIO,LITE directo chip objetivo equipo pequeno,EMPRESA_EQUIPO,380,usuarios,8500 / 22.37,"Equipo pequeno requiere volumen real o planes Pro/Coach"
PUNTO_EQUILIBRIO,Coach Pro para estructura lean,LEAN,12,coaches,980 / 81.69,"Coach Pro puede ayudar mucho a sostener estructura"
PUNTO_EQUILIBRIO,Coach Pro para empresa minima,EMPRESA_MINIMA,43,coaches,3480 / 81.69,"No depender solo de Coach Pro; combinar con Lite"
ESCENARIO_MIXTO,100 Lite directo chip objetivo + 5 Coach Pro,LEAN,2646.15,mensual,(100*22.37)+(5*81.69),"Cubre estructura lean y deja margen inicial antes de impuestos adicionales/no contemplados"
ESCENARIO_MIXTO,150 Lite directo chip objetivo + 5 Coach Pro,EMPRESA_MINIMA,3764.65,mensual,(150*22.37)+(5*81.69),"Aproxima cobertura de empresa minima"
ESCENARIO_MIXTO,250 Lite directo chip objetivo + 10 Coach Pro,EMPRESA_MINIMA,6409.00,mensual,(250*22.37)+(10*81.69),"Mejor escenario para pagar estructura y reinvertir"
PENDIENTE,Validar regimen tributario,LEGAL_CONTABLE,0.00,pendiente,Contador,"Confirmar IGV, renta, comprobantes, credito fiscal y tratamiento de membresias"
PENDIENTE,Separar base fiscal/operativa/seguridad/deportiva,BASE_DATOS,0.00,pendiente,Arquitectura,"Evita mezclar datos fiscales con contactos emergencia, permisos y telemetria"
PENDIENTE,Definir politica de cobro,PAGOS,0.00,pendiente,Producto,"Web/Plin/Yape/transferencia al inicio; Play Billing solo si conviene"
PENDIENTE,Costear producto final,DISPOSITIVO,0.00,pendiente,BOM/PCB/carcasa,"Precio final no puede salir solo del costo informal del prototipo"
FORMALIZACION,Constitucion SAC con 2 socios,COTIZACION_RECIBIDA,900.00,unica,Cotizacion profesional recibida 2026-06-06,"Tiempo estimado 20 a 30 dias calendario; confirmar por escrito conceptos incluidos y costos adicionales"
COSTO_FIJO,Servicio contable mensual,COTIZACION_RECIBIDA,150.00,mensual,Desde S/150 segun plan de trabajo,"Incluir declaraciones mensuales, libros, comprobantes, cierre anual, planilla y asesoria solo si el plan los contempla"
SUPUESTOS,Regimen tributario inicial recomendado,RMT,0.00,referencia,Recomendacion profesional contrastada con SUNAT,"Apto para persona juridica con rentas de tercera categoria e ingresos dentro del limite; permite facturar, deducir costos y pagar renta segun resultado"
PENDIENTE,Verificar alcance cotizacion constitucion,LEGAL_CONTABLE,0.00,antes_de_constituir,Responsable + notaria/contador,"Confirmar reserva de nombre, minuta, escritura publica, derechos SUNARP, RUC, libros, cuenta bancaria y gastos no incluidos"
PENDIENTE,Definir tratamiento inversion del fundador,LEGAL_CONTABLE,0.00,antes_de_constituir,Contador,"Documentar aportes, prestamos de socio, compras de prototipo previas, crowdfunding y forma legal de recuperacion"
PENDIENTE,Evaluar inscripcion REMYPE,LABORAL,0.00,cuando_exista_trabajador,Contador/asesor laboral,"REMYPE es un registro laboral distinto del Regimen MYPE Tributario; requiere al menos un trabajador y debe evaluarse por separado"
