id,fecha,area,tipo,prioridad,premisa,detalle,alcance,estado,version_referencia
SS-CON-0020,2026-06-05,Events/Multisport,Segmento acuatico,Alta,"Save Swimmer Events puede aplicarse a triatlon, aquathlon, swimrun y eventos con agua si limita su responsabilidad al segmento acuatico y transicion de salida","El dispositivo debe operar pasivamente, sin distraer ni entregar ventaja, y requerir aprobacion del organizador o federacion","Events Multisport",PROPUESTA,BASE-V001
SS-CON-0021,2026-06-05,Estrategia mercado,Plataforma por capas,Alta,"Save Swimmer debe crecer como plataforma de dispositivo personal, monitoreo de grupos e infraestructura Events","Las versiones comparten tecnologia cuando resulte economico, pero cada mercado conserva promesa, operacion y responsabilidad diferenciadas","Lite/Pro/Coach/Family/Events",ACTIVA,BASE-V001
SS-CON-0022,2026-06-05,Institucional/PNP,Etapa de acercamiento,Alta,"El primer acercamiento a la PNP debe ser de escucha operativa con la Unidad de Salvataje, no una solicitud de aprobación ni integración de emergencias","La integración formal solo se evalúa después de prototipo acuático seguro, pilotos documentados, alertas confiables, empresa formal, responsabilidades y protocolo acordado","Empresa/Lite/Pro",ACTIVA,BASE-V001
SS-CON-0023,2026-06-05,Emergencias/PNP,Limite de escalamiento,Critica,"Save Swimmer no debe enviar alertas automáticas a la Central 105 sin convenio, canal autorizado y validación humana","La Central 105 atiende un volumen elevado de emergencias; falsos positivos podrían desperdiciar recursos y perjudicar al proyecto","Lite/Pro",ACTIVA,BASE-V001
SS-CON-0024,2026-06-06,Posicionamiento,Diferenciacion frente a relojes,Critica,"Save Swimmer no debe posicionarse como otro reloj o registrador deportivo; su diferencia central es buscar reconocer contexto incompatible con un nado normal y generar una alerta temprana","Mientras relojes y trackers suelen registrar o compartir informacion, Save Swimmer aspira a reducir el tiempo entre una posible incidencia y su conocimiento por coach, familia o responsable; esta capacidad debe comunicarse como objetivo en validacion, no como garantia actual","Lite/Pro/Coach/Family",ACTIVA,BASE-V001
SS-CON-0025,2026-06-06,Alertas,Manual mas automatica contextual,Critica,"Save Swimmer debe conservar activacion manual de SOS y desarrollar alerta automatica contextual para escenarios donde el nadador no puede pedir ayuda","La alerta automática solo agrega valor si usa persistencia, movimiento, ubicación, agua/seco, tiempo y confirmaciones para reducir falsos positivos; debe escalar progresivamente y permitir cancelación cuando sea seguro","Lite/Pro/Coach/Family/Events",PROPUESTA,BASE-V001
SS-CON-0026,2026-06-06,Events/Seguridad,Contabilizacion continua,Critica,"En Events no basta registrar salida y llegada; el centro de seguridad debe conocer continuamente quienes están en agua, cerrados seguros, fuera de tiempo o pendientes","Toda alerta debe tener responsable, confirmación y trazabilidad; Save Swimmer complementa pero nunca sustituye conteo, observación, embarcaciones, salvamento ni protocolos humanos","Events/Events Multisport",ACTIVA,BASE-V001
SS-CON-0027,2026-06-06,Proposito/Trazabilidad,Estado conocido,Critica,"Save Swimmer busca reducir el tiempo durante el cual nadie sabe si una persona sigue en agua, salio, se retiro o necesita verificacion","El valor del producto no se comunica como salvar vidas por si solo, sino como generar contexto, alertas y trazabilidad para que responsables humanos puedan actuar antes y con mejor informacion","Lite/Pro/Coach/Family/Events",ACTIVA,BASE-V001
SS-CON-0028,2026-06-06,Events/Seguridad,Estado desconocido accionable,Critica,"En una operacion acuatica la ausencia de confirmacion no es un cierre ni un dato neutro: es un estado que requiere verificacion","Ningun atleta debe suponerse seguro, retirado, en hotel o fuera del evento sin cierre verificable; al superar el tiempo definido debe escalarse como ESTADO_DESCONOCIDO y activar el protocolo humano correspondiente","Events/Events Multisport",ACTIVA,BASE-V001
SS-CON-0029,2026-06-06,Alertas/Interpretacion,Incertidumbre accionable,Critica,"Save Swimmer no necesita declarar que una persona esta en emergencia para aportar valor; debe detectar situaciones que justifican verificacion humana","Una pausa, gesto, desvio o salida incorrecta se comunica con identidad, ubicacion, duracion y contexto; el responsable confirma y escala segun protocolo","Lite/Pro/Coach/Events",ACTIVA,BASE-V001
SS-CON-0030,2026-06-08,Hardware/Seguridad,Flotabilidad positiva y autoenderezamiento,Critica,"El dispositivo debe flotar si se desprende y autorenderezarse con antena y señal visual sobre el agua","La ubicacion posterior al desprendimiento corresponde al dispositivo y no confirma la posicion del nadador; la app debe comunicar esta incertidumbre y activar verificacion humana","Lite/Pro/Events",PROPUESTA,BASE-V001
SS-CON-0031,2026-06-08,Comunicacion/Mapa,Confianza de comunicacion observada,Alta,"Save Swimmer puede construir un mapa colaborativo de desempeño observado para ayudar a planificar rutas y contextualizar perdidas de señal","No debe presentarse como cobertura garantizada ni reemplazar protocolos; debe indicar muestras, antiguedad, confianza, privacidad y que el comportamiento futuro puede variar","Lite/Pro/Coach/Events",PROPUESTA,BASE-V001
